"quadrat_id","species_ids"
"CBN-PdlC-E3-20130723","[1392685, 1396253]"
"CBN-PdlC-E2-20130723","[1394289, 1395807, 1396253]"
"CBN-PdlC-E5-20130723","[1360299, 1388766, 1393200, 1395807]"
"CBN-PdlC-E6-20130723","[1360874, 1390793, 1395807]"
"CBN-PdlC-E1-20130723","[1356882, 1391074, 1394502, 1394911, 1497667]"
"CBN-PdlC-F1-20130723","[1388766, 1394911]"
"CBN-PdlC-F2-20130723","[1392535, 1392608, 1393228, 1394911]"
"CBN-PdlC-F3-20130723","[1359649, 1392608, 1393200, 1395807, 1396261]"
"CBN-PdlC-F4-20130723","[1360748, 1392608, 1393200, 1413421]"
"CBN-PdlC-F5-20130723","[1390904, 1392608]"
"CBN-PdlC-F6-20130723","[1362729]"
"CBN-Pla-B1-20130724","[1361708]"
"CBN-Pla-B5-20130724","[1396839]"
"CBN-Pla-B6-20130724","[1395949, 1609716]"
"CBN-Pla-B2-20130724","[1390904]"
"CBN-Pla-B4-20130724","[1722440]"
"CBN-Pla-B3-20130724","[1398222]"
"CBN-Pla-A6-20130724","[1356402, 1394366, 1666930]"
"CBN-Pla-A5-20130724","[1394530]"
"CBN-Pla-A4-20130724","[1390837]"
"CBN-Pla-A2-20130724","[1396015, 1398222]"
"CBN-Pla-A3-20130724","[1356402, 1418612]"
"CBN-PdlC-B2-20130807","[1392608, 1414270]"
"CBN-PdlC-B6-20130807","[1395807, 1738789]"
"CBN-PdlC-B5-20130807","[1395807, 1397475]"
"CBN-PdlC-B3-20130807","[1388766, 1394911, 1395807]"
"CBN-PdlC-D3-20130807","[1647128]"
"CBN-PdlC-D2-20130807","[1360140, 1396253]"
"CBN-PdlC-E5-20130807","[1392608]"
"CBN-PdlC-F1-20130807","[1360140, 1395807]"
"CBN-PdlC-E6-20130807","[1737422]"
"CBN-PdlC-F2-20130807","[1392655, 1395807, 1412857]"
"CBN-PdlC-E3-20130807","[1359511]"
"CBN-PdlC-F3-20130807","[1392608]"
"CBN-PdlC-F4-20130807","[1388766, 1392608]"
"CBN-PdlC-F6-20130807","[1361055]"
"CBN-PdlC-C1-20130807","[1360874]"
"CBN-PdlC-E4-20130807","[1392608, 1395807]"
"CBN-PdlC-E2-20130807","[1395807]"
"CBN-PdlC-C5-20130807","[1396858]"
"CBN-PdlC-C4-20130807","[1393708, 1395807]"
"CBN-PdlC-C3-20130807","[1395870]"
"CBN-PdlC-A1-20130807","[1388766, 1392608, 1395807, 1396974, 1412857]"
"CBN-PdlC-A2-20130807","[1395807]"
"CBN-PdlC-E1-20130807","[1390793, 1392608, 1395807]"
"CBN-PdlC-A3-20130807","[1364068, 1388766, 1392535, 1392608, 1394911]"
"CBN-PdlC-D6-20130807","[1395807]"
"CBN-PdlC-A5-20130807","[1393708, 1395807, 1397475, 1400101]"
"CBN-PdlC-A4-20130807","[1397475]"
"CBN-PdlC-D4-20130807","[1395807, 1396253]"
"CBN-PdlC-A6-20130807","[1395190, 1397475]"
"CBN-PdlC-B4-20130807","[1397475]"
"CBN-PdlC-B1-20130807","[1360299, 1395807]"
"CBN-PdlC-D1-20130807","[1395807]"
"CBN-PdlC-C6-20130807","[1395807]"
"CBN-PdlC-D5-20130807","[1395807]"
"CBN-Pla-C6-20130808","[1395807]"
"CBN-Pla-A4-20130808","[1395807, 1741880]"
"CBN-Pla-A3-20130808","[1388766, 1395807]"
"CBN-Pla-D4-20130808","[1395807, 1395870, 1666930]"
"CBN-Pla-C5-20130808","[1390899, 1395807, 1395868]"
"CBN-Pla-A2-20130808","[1390793, 1395807]"
"CBN-Pla-A1-20130808","[1356729, 1391120, 1395807, 1397475]"
"CBN-Pla-E6-20130808","[1395807, 1396974, 1418612]"
"CBN-Pla-F2-20130808","[1412857]"
"CBN-Pla-F1-20130808","[1393679]"
