"quadrat_id","species_ids"
"CBN-PdlC-E3-20130723","[1392685]"
"CBN-PdlC-E2-20130723","[1395807]"
"CBN-PdlC-E5-20130723","[1390793]"
"CBN-PdlC-E6-20130723","[1395807]"
"CBN-PdlC-E1-20130723","[1390793]"
"CBN-PdlC-F1-20130723","[1394911, 1395807]"
"CBN-PdlC-F2-20130723","[1362273, 1420364]"
"CBN-PdlC-F3-20130723","[1388766]"
"CBN-PdlC-F4-20130723","[1388766, 1392608, 1396253]"
"CBN-PdlC-F5-20130723","[1390846]"
"CBN-PdlC-F6-20130723","[1390793]"
"CBN-Pla-B1-20130724","[1737693]"
"CBN-Pla-B5-20130724","[1398222]"
"CBN-Pla-B6-20130724","[1356402]"
"CBN-Pla-B2-20130724","[1531145]"
"CBN-Pla-B4-20130724","[1396839]"
"CBN-Pla-B3-20130724","[1398222]"
"CBN-Pla-A6-20130724","[1395949]"
"CBN-Pla-A5-20130724","[1390802]"
"CBN-Pla-A4-20130724","[1395807]"
"CBN-Pla-A2-20130724","[1396839]"
"CBN-Pla-A3-20130724","[1396839]"
"CBN-PdlC-B2-20130807","[1360299, 1392608, 1395807]"
"CBN-PdlC-B6-20130807","[1395807]"
"CBN-PdlC-B5-20130807","[1395807, 1397475]"
"CBN-PdlC-B3-20130807","[1388766]"
"CBN-PdlC-D3-20130807","[1395807]"
"CBN-PdlC-D2-20130807","[1360140, 1396253, 1412857]"
"CBN-PdlC-E5-20130807","[1359511, 1395807]"
"CBN-PdlC-F1-20130807","[1395807]"
"CBN-PdlC-E6-20130807","[1395807]"
"CBN-PdlC-F2-20130807","[1391331, 1395807, 1737507]"
"CBN-PdlC-E3-20130807","[1395807]"
"CBN-PdlC-F3-20130807","[1395807]"
"CBN-PdlC-F4-20130807","[1392608, 1396843]"
"CBN-PdlC-F6-20130807","[1395807]"
"CBN-PdlC-C1-20130807","[1393708, 1395807]"
"CBN-PdlC-E4-20130807","[1392608, 1393768, 1395807]"
"CBN-PdlC-E2-20130807","[1395807, 1397528, 1418688]"
"CBN-PdlC-C5-20130807","[1395807]"
"CBN-PdlC-C4-20130807","[1395807]"
"CBN-PdlC-C3-20130807","[1361347, 1395807]"
"CBN-PdlC-A1-20130807","[1392608, 1412857]"
"CBN-PdlC-A2-20130807","[1395807]"
"CBN-PdlC-E1-20130807","[1390793, 1392608, 1395807]"
"CBN-PdlC-A3-20130807","[1395807]"
"CBN-PdlC-D6-20130807","[1393708, 1395807]"
"CBN-PdlC-A5-20130807","[1360874, 1395807, 1397475]"
"CBN-PdlC-A4-20130807","[1392608, 1397475]"
"CBN-PdlC-D4-20130807","[1392608, 1395807]"
"CBN-PdlC-A6-20130807","[1395807, 1397475]"
"CBN-PdlC-B4-20130807","[1397475]"
"CBN-PdlC-B1-20130807","[1392608, 1393200, 1395807]"
"CBN-PdlC-D1-20130807","[1391313, 1395807, 1396253]"
"CBN-PdlC-C6-20130807","[1393200]"
"CBN-PdlC-D5-20130807","[1395807]"
"CBN-Pla-C6-20130808","[1395807]"
"CBN-Pla-A4-20130808","[1395807, 1741880]"
"CBN-Pla-A3-20130808","[1395807]"
"CBN-Pla-D4-20130808","[1395807, 1395870]"
"CBN-Pla-C5-20130808","[1390793, 1395807, 1396733]"
"CBN-Pla-A2-20130808","[1391120, 1395807]"
"CBN-Pla-A1-20130808","[1395807, 1737507]"
"CBN-Pla-E6-20130808","[1361347, 1395807]"
"CBN-Pla-F2-20130808","[1392299]"
"CBN-Pla-F1-20130808","[1390793]"
"CBN-Pla-C4-20130808","[1395807]"
"CBN-Pla-F4-20130808","[1394598]"
"CBN-Pla-F5-20130808","[1396253]"
"CBN-Pla-F6-20130808","[1388766, 1390793, 1395807, 1395870]"
