"quadrat_id","species_ids"
"CBN-PdlC-E3-20130723","[1359973, 1361233, 1388766, 1393947, 1395807, 1395870, 1396253, 1651162, 1654153]"
"CBN-PdlC-E2-20130723","[1393584, 1395807, 1395949, 1396015, 1396253, 1397528, 1412857, 1609716]"
"CBN-PdlC-E5-20130723","[1359511, 1360299, 1360874, 1361057, 1363016, 1363992, 1390782, 1390793, 1390837, 1391798, 1392608, 1393200, 1393228, 1393314, 1394502, 1395807, 1396253, 1609716]"
"CBN-PdlC-E6-20130723","[1359511, 1360312, 1390837, 1392535, 1392608, 1393824, 1395807, 1395870, 1396253, 1396843, 1397528]"
"CBN-PdlC-E1-20130723","[1388766, 1390793, 1392535, 1392774, 1393228, 1393947, 1394598, 1394866, 1395807, 1396253, 1397528, 1412857, 1741880]"
"CBN-PdlC-F1-20130723","[1360312, 1362331, 1392535, 1394595, 1394603, 1394643, 1394911, 1395807, 1395870, 1412857, 1741880]"
"CBN-PdlC-F2-20130723","[1362273, 1390837, 1391331, 1392608, 1394595, 1394911, 1395807, 1395870, 1396253, 1397528, 1737651]"
"CBN-PdlC-F3-20130723","[1356082, 1360269, 1360874, 1361598, 1390837, 1392608, 1392612, 1393200, 1393228, 1395807, 1396253, 1397500, 1397528, 1654153]"
"CBN-PdlC-F4-20130723","[1358746, 1359511, 1360299, 1361347, 1392608, 1392612, 1393200, 1395807, 1396253, 1396733, 1396869, 1397500, 1654153]"
"CBN-PdlC-F5-20130723","[1359511, 1360607, 1361077, 1388766, 1390793, 1390837, 1392608, 1396253, 1396733]"
"CBN-PdlC-F6-20130723","[1359511, 1361077, 1363282, 1390793, 1395807, 1396253, 1396843, 1396869]"
"CBN-Pla-B1-20130724","[1359937, 1361389, 1361703, 1531145, 1722433, 1737693, 1738749, 1743359]"
"CBN-Pla-B5-20130724","[1363016, 1390495, 1390837, 1390870, 1390904, 1418612, 1741880]"
"CBN-Pla-B6-20130724","[1390793, 1390904, 1393320, 1395807, 1395870, 1396144, 1412857]"
"CBN-Pla-B2-20130724","[1361092, 1390038, 1390793, 1390837, 1390904, 1393312]"
"CBN-Pla-B4-20130724","[1361347, 1390837, 1697487, 1737693]"
"CBN-Pla-B3-20130724","[1359587, 1361914, 1395935, 1651162]"
"CBN-Pla-A6-20130724","[1356402, 1361792, 1390756, 1390837, 1390904, 1394530, 1395807, 1395862, 1395870, 1396733]"
"CBN-Pla-A5-20130724","[1359973, 1390793, 1393320, 1395807, 1395862, 1395870, 1395949, 1741880]"
"CBN-Pla-A4-20130724","[1359973, 1390837, 1391120, 1395807, 1395862, 1395868, 1395870, 1741880]"
"CBN-Pla-A2-20130724","[1390793, 1390837, 1393312, 1394443, 1396015, 1397549, 1398222]"
"CBN-Pla-A3-20130724","[1356402, 1390904, 1392407, 1393253, 1396169, 1396272, 1396733, 1418612]"
"CBN-PdlC-B2-20130807","[1360299, 1392535, 1392608, 1392612, 1394542, 1395807, 1397524, 1741880]"
"CBN-PdlC-B6-20130807","[1359511, 1361801, 1364071, 1393200, 1393679, 1395190, 1395807, 1395870, 1396843, 1397475, 1400101]"
"CBN-PdlC-B5-20130807","[1360269, 1361801, 1393874, 1395190, 1395807, 1395870, 1397475, 1400101]"
"CBN-PdlC-B3-20130807","[1356729, 1392541, 1395807, 1395870, 1397500, 1397535]"
"CBN-PdlC-D3-20130807","[1356278, 1360140, 1362729, 1363740, 1364066, 1390837, 1392541, 1395807, 1397432, 1412857, 1413349, 1647128]"
"CBN-PdlC-D2-20130807","[1359511, 1388915, 1390793, 1390837, 1391092, 1392541, 1393619, 1393708, 1394643, 1395807, 1396253, 1412857]"
"CBN-PdlC-E5-20130807","[1358746, 1359511, 1360874, 1392608, 1395807, 1396253, 1396843, 1397500, 1412585, 1737699]"
"CBN-PdlC-F1-20130807","[1390793, 1391331, 1392535, 1392541, 1393245, 1395807, 1395870, 1397043, 1397528, 1741880]"
"CBN-PdlC-E6-20130807","[1359511, 1360874, 1392608, 1394828, 1395807, 1396253, 1396843, 1396869, 1397528, 1412585]"
"CBN-PdlC-F2-20130807","[1364066, 1393245, 1395085, 1395807, 1395870, 1396253, 1412857]"
"CBN-PdlC-E3-20130807","[1359511, 1392299, 1395807, 1395870, 1395993, 1396253, 1397432, 1741589]"
"CBN-PdlC-F3-20130807","[1357652, 1360269, 1360874, 1361703, 1362729, 1392299, 1392608, 1392612, 1395807, 1395949, 1396253, 1397528]"
"CBN-PdlC-F4-20130807","[1359511, 1360874, 1363016, 1392608, 1395000, 1395807, 1396843, 1397500, 1403109, 1412585]"
"CBN-PdlC-F6-20130807","[1359511, 1390793, 1392774, 1395000, 1395807, 1396253, 1396843, 1412585]"
"CBN-PdlC-C1-20130807","[1360874, 1362729, 1364066, 1393708, 1395807, 1397432, 1397500, 1414270]"
"CBN-PdlC-E4-20130807","[1360874, 1392608, 1393253, 1393646, 1395085, 1395807, 1396253, 1396416, 1398253]"
"CBN-PdlC-E2-20130807","[1361347, 1395807, 1395870, 1397528]"
"CBN-PdlC-C5-20130807","[1360864, 1364067, 1364068, 1394910, 1395807, 1395870, 1396253, 1397042]"
"CBN-PdlC-C4-20130807","[1364066, 1390837, 1392612, 1395807, 1395870, 1737693]"
"CBN-PdlC-C3-20130807","[1360748, 1360872, 1361347, 1364066, 1364067, 1390837, 1393708, 1395807, 1395870, 1396253]"
"CBN-PdlC-A1-20130807","[1361077, 1391120, 1392535, 1392608, 1393836, 1394643, 1395807, 1412857]"
"CBN-PdlC-A2-20130807","[1360140, 1364067, 1391092, 1395807, 1397500, 1412857, 1414270]"
"CBN-PdlC-E1-20130807","[1356882, 1390793, 1392608, 1392774, 1394866, 1395807, 1395870, 1396253, 1397403, 1397528, 1418211]"
"CBN-PdlC-A3-20130807","[1364068, 1391092, 1392552, 1392608, 1393708, 1394643, 1395807, 1396733, 1397500, 1412857]"
"CBN-PdlC-D6-20130807","[1364067, 1395807, 1395870, 1396253, 1397528, 1707089]"
"CBN-PdlC-A5-20130807","[1359835, 1393200, 1395190, 1395807, 1397475, 1400101, 1402995]"
"CBN-PdlC-A4-20130807","[1359511, 1360984, 1391797, 1392608, 1393857, 1395807, 1397475, 1397500, 1397521, 1400101, 1664563]"
"CBN-PdlC-D4-20130807","[1356082, 1356461, 1360269, 1388766, 1392608, 1392612, 1393429, 1395807, 1396253, 1397042, 1397450, 1654153]"
"CBN-PdlC-A6-20130807","[1359662, 1391649, 1395190, 1395807, 1397042, 1397123, 1397475, 1397500, 1399738, 1418612]"
"CBN-PdlC-B4-20130807","[1360269, 1395190, 1395870, 1396971, 1397475, 1399738, 1412857]"
"CBN-PdlC-B1-20130807","[1360299, 1392608, 1392612, 1393200, 1395807, 1395870, 1397123, 1412857]"
"CBN-PdlC-D1-20130807","[1360874, 1362729, 1364066, 1393708, 1395807, 1395870, 1396253, 1397432]"
"CBN-PdlC-C6-20130807","[1364071, 1392628, 1393200, 1395807, 1395870, 1397042, 1397500]"
"CBN-PdlC-D5-20130807","[1360874, 1360878, 1364066, 1392299, 1392612, 1395807, 1395870, 1741880]"
"CBN-Pla-C6-20130808","[1361347, 1390872, 1393947, 1395807, 1395870, 1396253, 1397500]"
"CBN-Pla-A4-20130808","[1390837, 1395807, 1395870, 1738749, 1741880]"
"CBN-Pla-A3-20130808","[1360269, 1391120, 1395807, 1395870, 1396094, 1397500]"
"CBN-Pla-D4-20130808","[1356424, 1360874, 1392299, 1395807, 1395870, 1397500, 1418612, 1741880]"
"CBN-Pla-C5-20130808","[1361347, 1390793, 1391120, 1395807, 1396144, 1396869, 1397491]"
"CBN-Pla-A2-20130808","[1364071, 1390793, 1395807, 1395870, 1412857]"
"CBN-Pla-A1-20130808","[1356729, 1359973, 1395807, 1395870, 1396253, 1397475]"
"CBN-Pla-E6-20130808","[1359511, 1361347, 1388766, 1391120, 1392299, 1395807, 1397123, 1412857]"
"CBN-Pla-F2-20130808","[1390793, 1393228, 1394542, 1396253, 1397549, 1412857, 1418612]"
"CBN-Pla-F1-20130808","[1361233, 1361347, 1363456, 1393228, 1393679, 1395973, 1396869, 1397549, 1654153]"
"CBN-Pla-C4-20130808","[1364067, 1392299, 1395807, 1397500]"
"CBN-Pla-F4-20130808","[1361347, 1390793, 1390837, 1390904, 1391120, 1395807, 1412857]"
"CBN-Pla-F5-20130808","[1361347, 1390793, 1392541, 1395807, 1396253, 1396843]"
"CBN-Pla-F6-20130808","[1359511, 1360864, 1361347, 1364066, 1390793, 1390837, 1392299, 1392541, 1393200, 1395807, 1395870, 1396253, 1396843]"
"CBN-Pla-F3-20130808","[1361347, 1361367, 1390837, 1392407, 1393228, 1396253, 1412857, 1418612]"
"CBN-Pla-A5-20130808","[1361347, 1395807, 1395870, 1741880]"
"CBN-Pla-B5-20130808","[1393947, 1394311, 1395807, 1395870]"
