"quadrat_id","species_ids"
"CBN-PdlC-E3-20130723","[1361141, 1361281, 1361284, 1361347, 1361382, 1362023, 1390786, 1392299, 1396971, 1654153]"
"CBN-PdlC-E2-20130723","[1388766, 1389627, 1391881, 1394911, 1395807, 1395868, 1396974, 1397528, 1400188, 1418688]"
"CBN-PdlC-E5-20130723","[1356355, 1361077, 1361373, 1361382, 1388766, 1390793, 1396261, 1396733, 1399688, 1400188]"
"CBN-PdlC-E6-20130723","[1388766, 1391120, 1393947, 1394911, 1395807, 1396733, 1396974, 1400188, 1418688, 1737507]"
"CBN-PdlC-E1-20130723","[1360140, 1388766, 1390793, 1390899, 1394911, 1395807, 1396169, 1396253, 1396733, 1398222]"
"CBN-PdlC-F1-20130723","[1388766, 1392685, 1394911, 1395807, 1395870, 1396971, 1396974, 1400188, 1418688, 1741880]"
"CBN-PdlC-F2-20130723","[1359988, 1390904, 1391476, 1393449, 1395807, 1396733, 1400188, 1412857, 1737507, 1737701]"
"CBN-PdlC-F3-20130723","[1356422, 1361281, 1361347, 1362023, 1364068, 1388766, 1390802, 1395807, 1396733, 1396974]"
"CBN-PdlC-F4-20130723","[1360748, 1360874, 1361233, 1388766, 1393200, 1396261, 1396332, 1396733, 1418688, 1654153]"
"CBN-PdlC-F5-20130723","[1356278, 1359511, 1363740, 1390793, 1390899, 1392747, 1394593, 1396857, 1420364, 1727501]"
"CBN-PdlC-F6-20130723","[1361057, 1361077, 1390761, 1390782, 1390793, 1390837, 1390866, 1390880, 1396974, 1398222]"
"CBN-Pla-B1-20130724","[1356355, 1356359, 1390866, 1390874, 1390904, 1391797, 1394366, 1395868, 1395949, 1737699]"
"CBN-Pla-B5-20130724","[1390802, 1390866, 1390904, 1391412, 1391797, 1396839, 1398222, 1609716, 1721729, 1738847]"
"CBN-Pla-B6-20130724","[1361141, 1390793, 1390802, 1390866, 1390904, 1393359, 1396839, 1398222, 1609716, 1721729]"
"CBN-Pla-B2-20130724","[1356609, 1363133, 1390793, 1390802, 1390874, 1394595, 1395944, 1395949, 1396030, 1398222]"
"CBN-Pla-B4-20130724","[1361141, 1390793, 1390802, 1390837, 1390872, 1390874, 1390904, 1390927, 1398222, 1737684]"
"CBN-Pla-B3-20130724","[1361281, 1390793, 1390866, 1390874, 1390904, 1391412, 1396839, 1398222, 1492045, 1531145]"
"CBN-Pla-A6-20130724","[1389627, 1394530, 1395807, 1395949, 1396015, 1396733, 1396969, 1397528, 1737701, 1738749]"
"CBN-Pla-A5-20130724","[1390802, 1391412, 1391868, 1395862, 1395868, 1396094, 1396969, 1398222, 1737701, 1741880]"
"CBN-Pla-A4-20130724","[1390802, 1390874, 1390904, 1391881, 1394530, 1395868, 1396094, 1398222, 1609716, 1737701]"
"CBN-Pla-A2-20130724","[1361281, 1390793, 1390802, 1390846, 1390904, 1394866, 1396094, 1396839, 1397385, 1398222]"
"CBN-Pla-A3-20130724","[1390802, 1390899, 1390904, 1391412, 1396094, 1396839, 1396971, 1721729, 1737701, 1738847]"
"CBN-PdlC-B2-20130807","[1360299, 1360874, 1391797, 1392608, 1392611, 1392614, 1393253, 1394366, 1395807, 1397500]"
"CBN-PdlC-B6-20130807","[1360140, 1360269, 1394366, 1395807, 1395862, 1395868, 1395870, 1397042, 1418688, 1741880]"
"CBN-PdlC-B5-20130807","[1360269, 1395190, 1395807, 1395868, 1395870, 1396858, 1396970, 1397475, 1418688, 1741661]"
"CBN-PdlC-B3-20130807","[1360140, 1360874, 1363738, 1388766, 1392747, 1394911, 1395807, 1396733, 1396974, 1400188]"
"CBN-PdlC-D3-20130807","[1358496, 1359511, 1360140, 1360874, 1388915, 1394911, 1395807, 1402995, 1413349, 1727501]"
"CBN-PdlC-D2-20130807","[1357574, 1392747, 1393619, 1394643, 1394866, 1396253, 1396733, 1397593, 1412857, 1737507]"
"CBN-PdlC-E5-20130807","[1358147, 1360299, 1360874, 1363622, 1364071, 1392608, 1392611, 1392612, 1397123, 1721018]"
"CBN-PdlC-F1-20130807","[1360269, 1388766, 1391074, 1394911, 1395807, 1395870, 1396253, 1396974, 1397043, 1741880]"
"CBN-PdlC-E6-20130807","[1359511, 1360874, 1390793, 1390846, 1390883, 1395807, 1396094, 1396733, 1397528, 1737693]"
"CBN-PdlC-F2-20130807","[1388766, 1391331, 1395807, 1395862, 1395868, 1395870, 1396733, 1396858, 1396974, 1737507]"
